Singer,Ticket price,Concerts per year,Party price,Followers on facebook,Followers on vk,Followers on youtube,Number of songs,Seniority years
Океан Эльзы,1500,170,25000,816029,39183,149734,280,22
Потап и Настя,900,70,15000,37435,188859,339781,208,10
Вопли Видоплясова,400,30,8000,80073,8529,90316,176,30
НеАнгелы,500,55,10000,80650,72180,80017,144,10
The Hardkiss,350,230,8000,39321,275718,57692,120,5
Тина Кароль,1300,120,20000,339840,224753,68068,144,11
Олег Винник,900,200,7000,4980,28918,15765,88,6
Время и Стекло,800,165,15000,30527,581713,494791,56,6
Бумбокс,1000,135,10000,282948,35017,19591,200,12
Иван Дорн,1700,215,15000,49105,158677,63216,104,6
LOBODA,1200,130,25000,75795,73809,47767,200,12
Ирина Билык,1400,90,10000,131581,7199,2559,392,26
Jamala,250,20,10000,106160,101547,29383,112,15
Антитела,450,60,5000,0,827,10673,176,8
Оля Полякова,600,70,15000,74125,23102,35508,128,11
Макс Барских,400,95,8000,37874,115621,20241,176,8
Скай,400,115,4000,8430,21863,4256,176,15
MONATIK,550,270,10000,5360,54390,47009,104,5
Ани Лорак,900,160,20000,839583,148030,90199,352,18
Василий Бондарчук,350,70,3000,1221,13072,455,72,9
Виталий Козловский,450,35,5000,36,3640,502,200,11
Дзидзьо,750,100,10000,110739,236633,197687,120,7
Наталья Могилевская,600,50,15000,19555,10407,6380,240,19
ТИК,250,65,8000,4700,22285,6061,168,11
Alosha,300,45,6000,9868,15918,5824,104,7
Пара нормальных,300,40,5000,1137,9519,1835,96,9
Маша Собко,250,20,3000,4992,3647,3443,48,7
